patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
stairsup;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
259.0;215.3;;;;;;;;;;;;;;;;;;;;17;0.1
259.0;215.3;;;;;;;;;;;;;;;;;12.985626;1.5640736;1.3618885;;127.5
259.0;215.3;;;;;;;;;;;;;;0.7705924;0.32819605;-0.16797388;;;;;127.5
259.0;215.3;;;;;;;;;;;;;;;;;-4.6578875;-17.273476;-8.033998;;127.5
259.0;215.3;;;;;;;;;;;;;;0.7956175;0.35096285;-0.16956083;;;;;127.5
259.0;215.3;;;;;;;;;;;;;;;;;-61.193424;-83.88013;-63.440353;;137.1
259.0;215.3;;;;;;;;;;;;;;0.79805905;0.356151;-0.16351818;;;;;137.1
259.0;215.3;;;;;;;;;;;;;;;;;-121.696365;-124.988556;-121.066925;;137.1
259.0;215.3;;;;;;;;;;;;;;0.8453017;0.37714773;-0.17023225;;;;;137.1
319.0;216.2;;;;;;;;;;;;;;;;;-42.66488;-123.4283;-87.72927;;146.7
319.0;216.2;;;;;;;;;;;;;;0.8060549;0.3755608;-0.14587848;;;;;146.7
319.0;216.2;;;;;;;;;;;;;;;;;49.558243;-117.38182;-55.764946;;146.7
319.0;216.2;;;;;;;;;;;;;;0.7744377;0.40632343;-0.10144353;;;;;146.7
319.0;216.2;;;;;;;;;;;;;;;;;56.318092;-79.91271;-53.338726;;156.4
319.0;216.2;;;;;;;;;;;;;;0.79103976;0.39478743;-0.10565508;;;;;156.4
319.0;216.2;;;;;;;;;;;;;;;;;51.145206;17.097994;-29.919584;;156.4
319.0;216.2;;;;;;;;;;;;;;0.80184335;0.38605914;-0.1163976;;;;;156.4
319.0;216.2;;;;;;;;;;;;;;;;;48.196358;24.903103;-26.905882;;166.0
319.0;216.2;;;;;;;;;;;;;;0.8003174;0.3805048;-0.11535997;;;;;166.0
319.0;216.2;;;;;;;;;;;;;;;;;46.57506;24.08292;-25.79577;;166.0
319.0;216.2;;;;;;;;;;;;;;0.8003174;0.37287515;-0.11157567;;;;;166.0
319.0;276.1;;;;;;;;;;;;;;;;;45.74343;23.22077;-24.17066;;175.7
319.0;276.1;;;;;;;;;;;;;;0.8217414;0.30689412;-0.12427137;;;;;175.7
319.0;276.1;;;;;;;;;;;;;;;;;46.39958;23.34666;-23.44966;;175.7
319.0;276.1;;;;;;;;;;;;;;0.8067873;0.4181646;-0.14099552;;;;;175.7
319.0;276.1;;;;;;;;;;;;;;;;;46.46443;22.282326;-22.537918;;185.2
319.0;276.1;;;;;;;;;;;;;;0.81496626;0.329722;-0.13006988;;;;;185.2
319.0;276.1;;;;;;;;;;;;;;;;;48.490097;20.619068;-21.782587;;185.2
319.0;276.1;;;;;;;;;;;;;;0.8022706;0.4334849;-0.12427137;;;;;185.2
319.0;276.1;;;;;;;;;;;;;;;;;49.710835;18.341625;-20.558031;;194.9
319.0;276.1;;;;;;;;;;;;;;0.80764186;0.4199347;-0.10870693;;;;;194.9
319.0;276.1;;;;;;;;;;;;;;;;;51.667835;15.491959;-19.936216;;194.9
319.0;276.1;;;;;;;;;;;;;;0.8003174;0.39283425;-0.095583975;;;;;194.9
381.0;276.9;;;;;;;;;;;;;;;;;54.2848;12.08533;-19.547104;;204.6
381.0;276.9;;;;;;;;;;;;;;0.8011719;0.4316538;-0.08899198;;;;;204.6
381.0;276.9;;;;;;;;;;;;;;;;;55.955685;8.308664;-19.062624;;204.6
381.0;276.9;;;;;;;;;;;;;;0.8191168;0.43269143;-0.08130131;;;;;204.6
381.0;276.9;;;;;;;;;;;;;;;;;57.210762;5.2415543;-18.42555;;214.2
381.0;276.9;;;;;;;;;;;;;;0.8220466;0.438612;-0.07043672;;;;;214.2
381.0;276.9;;;;;;;;;;;;;;;;;57.56554;2.8115177;-17.750328;;214.2
381.0;276.9;;;;;;;;;;;;;;0.8361461;0.4553972;-0.066652425;;;;;214.2
381.0;276.9;;;;;;;;;;;;;;;;;55.795464;0.7477035;-16.407515;;223.8
381.0;276.9;;;;;;;;;;;;;;0.8336436;0.44001588;-0.076235235;;;;;223.8
381.0;276.9;;;;;;;;;;;;;;;;;52.713097;-0.4730369;-15.182959;;223.8
381.0;276.9;;;;;;;;;;;;;;0.83657336;0.43531603;-0.068300426;;;;;223.8
381.0;335.9;;;;;;;;;;;;;;;;;49.974056;-1.1329997;-13.683737;;233.4
381.0;335.9;;;;;;;;;;;;;;0.8449965;0.4339732;-0.07916501;;;;;233.4
381.0;335.9;;;;;;;;;;;;;;;;;47.917877;-1.6899625;-12.009034;;233.4
381.0;335.9;;;;;;;;;;;;;;0.8324839;0.4415418;-0.09869686;;;;;233.4
381.0;335.9;;;;;;;;;;;;;;;;;46.48732;-3.4142585;-10.734886;;243.1
381.0;335.9;;;;;;;;;;;;;;0.8280282;0.44380015;-0.11407819;;;;;243.1
381.0;335.9;;;;;;;;;;;;;;;;;46.685688;-5.4857025;-9.42259;;243.1
381.0;335.9;;;;;;;;;;;;;;0.82546467;0.44288462;-0.13080233;;;;;243.1
381.0;335.9;;;;;;;;;;;;;;;;;48.749504;-6.912442;-8.3925905;;252.7
381.0;335.9;;;;;;;;;;;;;;0.8148442;0.44843897;-0.15259255;;;;;252.7
381.0;335.9;;;;;;;;;;;;;;;;;51.59917;-8.228554;-7.526627;;252.7
381.0;335.9;;;;;;;;;;;;;;0.7610096;0.4395886;-0.19202246;;;;;252.7
458.0;336.6;;;;;;;;;;;;;;;;;56.28376;-11.444441;-6.6492205;;262.4
458.0;336.6;;;;;;;;;;;;;;0.71864986;0.42597735;-0.2542802;;;;;262.4
458.0;336.6;;;;;;;;;;;;;;;;;61.23539;-16.571552;-5.539109;;262.4
458.0;336.6;;;;;;;;;;;;;;0.6775109;0.38984343;-0.33039337;;;;;262.4
458.0;336.6;;;;;;;;;;;;;;;;;63.669243;-21.80929;-3.5821102;;272.0
458.0;336.6;;;;;;;;;;;;;;0.67213964;0.35505235;-0.36500138;;;;;272.0
458.0;336.6;;;;;;;;;;;;;;;;;63.92102;-26.23066;-1.083407;;272.0
458.0;336.6;;;;;;;;;;;;;;0.6772668;0.30573443;-0.36030152;;;;;272.0
458.0;336.6;;;;;;;;;;;;;;;;;64.85947;-29.515215;1.0605181;;281.7
458.0;336.6;;;;;;;;;;;;;;0.69954526;0.25562304;-0.32959992;;;;;281.7
458.0;336.6;;;;;;;;;;;;;;;;;67.77398;-32.567066;3.0060732;;281.7
458.0;336.6;;;;;;;;;;;;;;0.73409224;0.22467726;-0.31562242;;;;;281.7
458.0;403.6;;;;;;;;;;;;;;;;;68.62468;-36.221657;5.1957765;;291.4
458.0;403.6;;;;;;;;;;;;;;0.77840513;0.22821741;-0.30384228;;;;;291.4
458.0;403.6;;;;;;;;;;;;;;;;;64.874725;-40.761284;8.033998;;291.4
458.0;403.6;;;;;;;;;;;;;;0.85097814;0.2492752;-0.30561236;;;;;291.4
458.0;403.6;;;;;;;;;;;;;;;;;59.80865;-44.61806;12.089145;;300.9
458.0;403.6;;;;;;;;;;;;;;0.92825097;0.2829066;-0.32441175;;;;;300.9
458.0;403.6;;;;;;;;;;;;;;;;;54.319134;-47.52495;16.96829;;300.9
458.0;403.6;;;;;;;;;;;;;;1.0253608;0.3419904;-0.30787072;;;;;300.9
458.0;403.6;;;;;;;;;;;;;;;;;43.496506;-47.330395;22.061068;;310.6
458.0;403.6;;;;;;;;;;;;;;1.1456038;0.3994873;-0.25482956;;;;;310.6
458.0;403.6;;;;;;;;;;;;;;;;;27.584917;-41.554764;27.1424;;310.6
458.0;403.6;;;;;;;;;;;;;;1.2380749;0.46699423;-0.15259255;;;;;310.6
501.0;404.4;;;;;;;;;;;;;;;;;11.67333;-32.986694;31.006805;;320.2
501.0;404.4;;;;;;;;;;;;;;1.3182164;0.52864164;-0.05963317;;;;;320.2
501.0;404.4;;;;;;;;;;;;;;;;;1.3237404;-22.83166;31.998657;;320.2
501.0;404.4;;;;;;;;;;;;;;1.350261;0.60713524;-0.028748436;;;;;320.2
501.0;404.4;;;;;;;;;;;;;;;;;-3.360851;-14.435255;29.705956;;329.8
501.0;404.4;;;;;;;;;;;;;;1.3197424;0.6930143;-0.11890011;;;;;329.8
501.0;404.4;;;;;;;;;;;;;;;;;-5.7641835;-12.310404;24.27366;;329.8
501.0;404.4;;;;;;;;;;;;;;1.2357554;0.78164005;-0.29700613;;;;;329.8
501.0;404.4;;;;;;;;;;;;;;;;;-10.944701;-18.704031;18.723106;;339.5
501.0;404.4;;;;;;;;;;;;;;1.1864986;0.7882321;-0.473159;;;;;339.5
501.0;404.4;;;;;;;;;;;;;;;;;-21.557512;-28.042694;15.182959;;339.5
501.0;404.4;;;;;;;;;;;;;;1.1822261;0.6499222;-0.526017;;;;;339.5
501.0;456.4;;;;;;;;;;;;;;;;;-35.31373;-34.44395;14.877774;;349.1
501.0;456.4;;;;;;;;;;;;;;1.2240363;0.4016846;-0.47840816;;;;;349.1
501.0;456.4;;;;;;;;;;;;;;;;;-47.79199;-35.145878;16.972105;;349.1
501.0;456.4;;;;;;;;;;;;;;1.2643819;0.10229804;-0.3587756;;;;;349.1
501.0;456.4;;;;;;;;;;;;;;;;;-57.466354;-33.8374;17.51381;;358.8
501.0;456.4;;;;;;;;;;;;;;1.2228767;-0.110721156;-0.2313303;;;;;358.8
501.0;456.4;;;;;;;;;;;;;;;;;-61.849575;-33.43303;17.414623;;358.8
501.0;456.4;;;;;;;;;;;;;;1.1750847;-0.30512404;-0.13061923;;;;;358.8
501.0;456.4;;;;;;;;;;;;;;;;;-57.73339;-31.57903;16.621143;;368.4
501.0;456.4;;;;;;;;;;;;;;1.1278421;-0.48414564;-0.0050050355;;;;;368.4
501.0;456.4;;;;;;;;;;;;;;;;;-42.66488;-27.043215;16.060366;;368.4
501.0;456.4;;;;;;;;;;;;;;1.1173437;-0.66335034;0.12335581;;;;;368.4
561.0;457.1;;;;;;;;;;;;;;;;;-18.501846;-19.676807;15.102847;;378.1
561.0;457.1;;;;;;;;;;;;;;1.079989;-0.75557727;0.17554247;;;;;378.1
561.0;457.1;;;;;;;;;;;;;;;;;7.805109;-12.539292;14.584033;;378.1
561.0;457.1;;;;;;;;;;;;;;0.9971008;-0.79622793;0.118533894;;;;;378.1
561.0;457.1;;;;;;;;;;;;;;;;;33.71151;-8.461257;14.069033;;387.8
561.0;457.1;;;;;;;;;;;;;;0.90591145;-0.7500229;-0.02191229;;;;;387.8
561.0;457.1;;;;;;;;;;;;;;;;;57.94702;-7.869961;12.798699;;387.8
561.0;457.1;;;;;;;;;;;;;;0.8287606;-0.64925075;-0.18207343;;;;;387.8
561.0;457.1;;;;;;;;;;;;;;;;;80.33997;-9.537035;11.37196;;397.5
561.0;457.1;;;;;;;;;;;;;;0.77175206;-0.51850945;-0.31598866;;;;;397.5
561.0;457.1;;;;;;;;;;;;;;;;;99.967186;-12.852107;10.54033;;397.5
561.0;457.1;;;;;;;;;;;;;;0.7608875;-0.39362773;-0.41114536;;;;;397.5
561.0;516.6;;;;;;;;;;;;;;;;;117.10334;-16.926329;10.097812;;407.0
