patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
stairsdown;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
366.0;279.3;;;;;;;;;;;;;;;;;;;;17;0.1
366.0;279.3;;;;;;;;;;;;;;;;;13.199256;1.2016664;1.2321848;;127.6
366.0;279.3;;;;;;;;;;;;;;0.51814324;0.4542375;-0.3963744;;;;;127.6
366.0;279.3;;;;;;;;;;;;;;;;;-6.653035;-15.892513;-7.488479;;127.6
366.0;279.3;;;;;;;;;;;;;;0.5247353;0.5039216;-0.4213996;;;;;127.6
366.0;279.3;;;;;;;;;;;;;;;;;-66.50365;-84.131905;-64.954834;;137.2
366.0;279.3;;;;;;;;;;;;;;0.5488449;0.5100253;-0.43885615;;;;;137.2
366.0;279.3;;;;;;;;;;;;;;;;;-122.737816;-124.988556;-121.69255;;137.2
366.0;279.3;;;;;;;;;;;;;;0.549089;0.48445082;-0.4477676;;;;;137.2
427.0;280.1;;;;;;;;;;;;;;;;;-63.554794;-122.35633;-95.54201;;146.9
427.0;280.1;;;;;;;;;;;;;;0.51185644;0.4572283;-0.47541735;;;;;146.9
427.0;280.1;;;;;;;;;;;;;;;;;-2.4109623;-111.686295;-78.10449;;146.9
427.0;280.1;;;;;;;;;;;;;;0.48518327;0.43879512;-0.5040437;;;;;146.9
427.0;280.1;;;;;;;;;;;;;;;;;-6.820887;-69.22361;-86.01642;;156.6
427.0;280.1;;;;;;;;;;;;;;0.46961883;0.45240638;-0.4987335;;;;;156.6
427.0;280.1;;;;;;;;;;;;;;;;;-14.717551;30.38499;-70.15823;;156.6
427.0;280.1;;;;;;;;;;;;;;0.48609883;0.47364727;-0.42200994;;;;;156.6
427.0;280.1;;;;;;;;;;;;;;;;;-16.338848;40.658283;-70.429085;;166.2
427.0;280.1;;;;;;;;;;;;;;0.51875365;0.47950682;-0.35901976;;;;;166.2
427.0;280.1;;;;;;;;;;;;;;;;;-17.212439;43.94284;-71.920685;;166.2
427.0;280.1;;;;;;;;;;;;;;0.49885556;0.4934843;-0.35236672;;;;;166.2
427.0;339.5;;;;;;;;;;;;;;;;;-19.013033;48.15821;-72.54631;;175.9
427.0;339.5;;;;;;;;;;;;;;0.41828668;0.5180822;-0.3685415;;;;;175.9
427.0;339.5;;;;;;;;;;;;;;;;;-21.923735;51.34358;-73.450424;;175.9
427.0;339.5;;;;;;;;;;;;;;0.36121708;0.5783868;-0.36994538;;;;;175.9
427.0;339.5;;;;;;;;;;;;;;;;;-26.581623;52.770317;-74.36598;;185.4
427.0;339.5;;;;;;;;;;;;;;0.28949857;0.6403394;-0.344615;;;;;185.4
427.0;339.5;;;;;;;;;;;;;;;;;-29.190954;51.652576;-76.10935;;185.4
427.0;339.5;;;;;;;;;;;;;;0.27527696;0.68764305;-0.31385234;;;;;185.4
427.0;339.5;;;;;;;;;;;;;;;;;-29.442732;50.397503;-80.02716;;194.9
427.0;339.5;;;;;;;;;;;;;;0.30878627;0.75374615;-0.263802;;;;;194.9
427.0;339.5;;;;;;;;;;;;;;;;;-28.710287;48.749504;-85.22294;;194.9
427.0;339.5;;;;;;;;;;;;;;0.36970124;0.8180792;-0.20496231;;;;;194.9
488.0;340.3;;;;;;;;;;;;;;;;;-27.886288;44.732502;-91.24653;;204.6
488.0;340.3;;;;;;;;;;;;;;0.47322002;0.8364513;-0.20184942;;;;;204.6
488.0;340.3;;;;;;;;;;;;;;;;;-28.324991;39.826653;-97.86905;;204.6
488.0;340.3;;;;;;;;;;;;;;0.5872372;0.8559221;-0.24390393;;;;;204.6
488.0;340.3;;;;;;;;;;;;;;;;;-30.747398;34.649952;-104.14442;;214.2
488.0;340.3;;;;;;;;;;;;;;0.71016574;0.87960446;-0.33857235;;;;;214.2
488.0;340.3;;;;;;;;;;;;;;;;;-36.30558;30.388805;-109.56145;;214.2
488.0;340.3;;;;;;;;;;;;;;0.840846;0.8601947;-0.44373912;;;;;214.2
488.0;340.3;;;;;;;;;;;;;;;;;-43.57662;27.539139;-113.67382;;223.9
488.0;340.3;;;;;;;;;;;;;;0.9902646;0.91311383;-0.5106357;;;;;223.9
488.0;340.3;;;;;;;;;;;;;;;;;-52.57958;24.609364;-115.14634;;223.9
488.0;340.3;;;;;;;;;;;;;;1.1828974;0.9078036;-0.6211127;;;;;223.9
488.0;400.0;;;;;;;;;;;;;;;;;-60.73565;23.579363;-115.142525;;233.5
488.0;400.0;;;;;;;;;;;;;;1.3920102;0.8627583;-0.7496567;;;;;233.5
488.0;400.0;;;;;;;;;;;;;;;;;-68.8612;24.525438;-114.463486;;233.5
488.0;400.0;;;;;;;;;;;;;;1.5914792;0.82528156;-0.8615375;;;;;233.5
488.0;400.0;;;;;;;;;;;;;;;;;-76.33443;24.937437;-111.95715;;243.2
488.0;400.0;;;;;;;;;;;;;;1.7730033;0.7307352;-0.95437485;;;;;243.2
488.0;400.0;;;;;;;;;;;;;;;;;-83.681755;26.604511;-108.504745;;243.2
488.0;400.0;;;;;;;;;;;;;;1.8906217;0.5442671;-1.0178534;;;;;243.2
488.0;400.0;;;;;;;;;;;;;;;;;-94.214455;32.19703;-107.875305;;252.9
488.0;400.0;;;;;;;;;;;;;;1.9492782;0.36213264;-1.0768151;;;;;252.9
488.0;400.0;;;;;;;;;;;;;;;;;-106.66982;42.91284;-108.37123;;252.9
488.0;400.0;;;;;;;;;;;;;;1.99176;0.23865475;-1.1125218;;;;;252.9
606.0;400.8;;;;;;;;;;;;;;;;;-115.96652;58.320873;-108.60775;;262.5
606.0;400.8;;;;;;;;;;;;;;1.8430128;0.06646931;-1.0618;;;;;262.5
606.0;400.8;;;;;;;;;;;;;;;;;-122.06641;71.59642;-109.21049;;262.5
606.0;400.8;;;;;;;;;;;;;;1.3459884;-0.122562334;-0.7014374;;;;;262.5
606.0;400.8;;;;;;;;;;;;;;;;;-117.21015;57.687614;-106.73467;;272.1
606.0;400.8;;;;;;;;;;;;;;1.4117862;-0.14227729;-0.6963714;;;;;272.1
606.0;400.8;;;;;;;;;;;;;;;;;-110.770744;48.654137;-103.633224;;272.1
606.0;400.8;;;;;;;;;;;;;;1.4205756;-0.07477035;-0.7392193;;;;;272.1
606.0;400.8;;;;;;;;;;;;;;;;;-106.74612;44.789726;-97.50282;;281.8
606.0;400.8;;;;;;;;;;;;;;1.3854793;-0.04297006;-0.69588304;;;;;281.8
606.0;400.8;;;;;;;;;;;;;;;;;-102.02338;41.005432;-89.19415;;281.8
606.0;400.8;;;;;;;;;;;;;;1.4065981;-0.09387494;-0.6888638;;;;;281.8
606.0;460.6;;;;;;;;;;;;;;;;;-91.72338;40.002136;-84.32264;;291.4
606.0;460.6;;;;;;;;;;;;;;1.3014313;-0.01660207;-0.6754967;;;;;291.4
606.0;460.6;;;;;;;;;;;;;;;;;-79.28709;37.377544;-81.68661;;291.4
606.0;460.6;;;;;;;;;;;;;;1.2226325;0.013122959;-0.6400342;;;;;291.4
606.0;460.6;;;;;;;;;;;;;;;;;-62.482834;32.09403;-76.31917;;301.0
606.0;460.6;;;;;;;;;;;;;;1.2649922;0.040223397;-0.67952514;;;;;301.0
606.0;460.6;;;;;;;;;;;;;;;;;-43.29051;30.89236;-74.99542;;301.0
606.0;460.6;;;;;;;;;;;;;;1.2391125;0.13727225;-0.64925075;;;;;301.0
606.0;460.6;;;;;;;;;;;;;;;;;-25.158695;22.59514;-75.51042;;310.6
606.0;460.6;;;;;;;;;;;;;;1.2674336;0.26422927;-0.7061373;;;;;310.6
606.0;460.6;;;;;;;;;;;;;;;;;-10.910368;12.993256;-76.700645;;310.6
606.0;460.6;;;;;;;;;;;;;;1.3787042;0.35859248;-0.7907956;;;;;310.6
609.0;461.4;;;;;;;;;;;;;;;;;-5.1347394;9.033479;-76.38783;;320.2
609.0;461.4;;;;;;;;;;;;;;1.4764855;0.39045382;-0.741905;;;;;320.2
609.0;461.4;;;;;;;;;;;;;;;;;-6.221961;7.98822;-74.079865;;320.2
609.0;461.4;;;;;;;;;;;;;;1.5454574;0.36268196;-0.63618886;;;;;320.2
609.0;461.4;;;;;;;;;;;;;;;;;-11.303292;9.544664;-70.528275;;329.8
609.0;461.4;;;;;;;;;;;;;;1.5671865;0.31928465;-0.52143925;;;;;329.8
