patientId;holterMac;flexMac
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp;
250.0;168.2;;;;;;;;;;;;;;;;;;;;17;0.1;
250.0;168.2;;;;;;;;;;;;;;;;;13.641774;0.8659627;0.3662221;;127.4;
250.0;168.2;;;;;;;;;;;;;;0.8865627;-0.24420911;-0.22907193;;;;;127.4;
250.0;168.2;;;;;;;;;;;;;;;;;-5.893887;-18.108921;-8.728293;;127.4;
250.0;168.2;;;;;;;;;;;;;;0.923307;-0.25305948;-0.23780023;;;;;127.4;
250.0;168.2;;;;;;;;;;;;;;;;;-65.52324;-84.83001;-63.123726;;137.1;
250.0;168.2;;;;;;;;;;;;;;0.9225745;-0.25202185;-0.23987548;;;;;137.1;
250.0;168.2;;;;;;;;;;;;;;;;;-122.631;-124.988556;-120.7503;;137.1;
250.0;168.2;;;;;;;;;;;;;;0.92178106;-0.25214392;-0.23902097;;;;;137.1;
309.0;198.2;;;;;;;;;;;;;;;;;-58.46202;-124.90845;-78.61949;;146.7;
309.0;198.2;;;;;;;;;;;;;;0.92287976;-0.25379193;-0.23871578;;;;;146.7;
309.0;198.2;;;;;;;;;;;;;;;;;8.5909605;-124.95422;-32.26951;;146.7;
309.0;198.2;;;;;;;;;;;;;;0.92043823;-0.25251016;-0.23816645;;;;;146.7;
309.0;198.2;;;;;;;;;;;;;;;;;4.3641467;-96.915344;-24.788658;;156.3;
309.0;198.2;;;;;;;;;;;;;;0.9187292;-0.25183874;-0.23584704;;;;;156.3;
309.0;198.2;;;;;;;;;;;;;;;;;-2.9793696;-6.1418505;-0.24796289;;156.3;
309.0;198.2;;;;;;;;;;;;;;0.9215369;-0.24970244;-0.23572497;;;;;156.3;
309.0;198.2;;;;;;;;;;;;;;;;;-3.8453321;1.4763329;1.5030366;;165.8;
309.0;198.2;;;;;;;;;;;;;;0.9214759;-0.24817652;-0.23371075;;;;;165.8;
309.0;198.2;;;;;;;;;;;;;;;;;-4.119999;1.617481;1.4343699;;165.8;
309.0;198.2;;;;;;;;;;;;;;0.9229408;-0.24970244;-0.23169653;;;;;165.8;
309.0;228.6;;;;;;;;;;;;;;;;;-4.299295;1.8311106;1.575518;;175.5;
309.0;228.6;;;;;;;;;;;;;;0.9229408;-0.24671163;-0.22998749;;;;;175.5;
309.0;228.6;;;;;;;;;;;;;;;;;-4.5129247;1.7052218;1.3046663;;175.5;
309.0;228.6;;;;;;;;;;;;;;0.92605364;-0.24897;-0.2287057;;;;;175.5;
309.0;228.6;;;;;;;;;;;;;;;;;-4.799036;1.8272958;1.1711478;;185.1;
309.0;228.6;;;;;;;;;;;;;;0.9279458;-0.24622333;-0.22998749;;;;;185.1;
309.0;228.6;;;;;;;;;;;;;;;;;-4.997406;1.842555;1.2054812;;185.1;
309.0;228.6;;;;;;;;;;;;;;0.92660296;-0.24958037;-0.22779016;;;;;185.1;
309.0;228.6;;;;;;;;;;;;;;;;;-5.138554;1.8044069;0.9765923;;194.8;
309.0;228.6;;;;;;;;;;;;;;0.9279458;-0.2492752;-0.2283395;;;;;194.8;
309.0;228.6;;;;;;;;;;;;;;;;;-5.104221;1.8044069;0.8964812;;194.8;
309.0;228.6;;;;;;;;;;;;;;0.9279458;-0.250618;-0.22577593;;;;;194.8;
402.0;258.2;;;;;;;;;;;;;;;;;-5.306406;1.8501847;0.8964812;;204.5;
402.0;258.2;;;;;;;;;;;;;;0.9286782;-0.25299844;-0.2278512;;;;;204.5;
