patientId;holterMac;flexMac
jp_portaat_ylös;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp;
281.0;217.4;;;;;;;;;;;;;;;;;;;;17;0.1;
281.0;217.4;;;;;;;;;;;;;;;;;13.370922;1.0567034;1.4152958;;127.6;
281.0;217.4;;;;;;;;;;;;;;0.86861783;-0.032471694;-0.24335459;;;;;127.6;
281.0;217.4;;;;;;;;;;;;;;;;;-5.5047765;-16.39607;-7.3587756;;127.6;
281.0;217.4;;;;;;;;;;;;;;0.8876003;-0.04547258;-0.25708792;;;;;127.6;
281.0;217.4;;;;;;;;;;;;;;;;;-63.15043;-84.40657;-60.670795;;137.2;
281.0;217.4;;;;;;;;;;;;;;0.8716086;-0.040894803;-0.24042481;;;;;137.2;
281.0;217.4;;;;;;;;;;;;;;;;;-122.00156;-124.988556;-119.55627;;137.2;
281.0;217.4;;;;;;;;;;;;;;0.86587113;-0.041688286;-0.23993652;;;;;137.2;
345.0;218.2;;;;;;;;;;;;;;;;;-53.10602;-124.91989;-73.85861;;146.9;
345.0;218.2;;;;;;;;;;;;;;0.8658101;-0.04608295;-0.24085207;;;;;146.9;
345.0;218.2;;;;;;;;;;;;;;;;;21.847439;-124.988556;-21.210365;;146.9;
345.0;218.2;;;;;;;;;;;;;;0.8638569;-0.047242653;-0.23975341;;;;;146.9;
345.0;218.2;;;;;;;;;;;;;;;;;20.947142;-98.50993;-11.303292;;156.6;
345.0;218.2;;;;;;;;;;;;;;0.8624531;-0.05114902;-0.23377179;;;;;156.6;
345.0;218.2;;;;;;;;;;;;;;;;;14.339885;-11.631367;13.924069;;156.6;
345.0;218.2;;;;;;;;;;;;;;0.86593217;-0.04443495;-0.237434;;;;;156.6;
345.0;218.2;;;;;;;;;;;;;;;;;12.2646265;-4.379406;15.56444;;166.2;
