patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
257.0;211.9;;;;;;;;;;;;;;;;;;;;17;0.1
257.0;211.9;;;;;;;;;;;;;;;;;13.752403;0.50737023;1.3237404;;127.4
257.0;211.9;;;;;;;;;;;;;;-1.1322978;-0.31202126;-0.20606098;;;;;127.4
257.0;211.9;;;;;;;;;;;;;;;;;-3.7995543;-16.838589;-9.708701;;127.4
257.0;211.9;;;;;;;;;;;;;;-1.1503646;-0.3745842;-0.22083193;;;;;127.4
257.0;211.9;;;;;;;;;;;;;;;;;-61.532944;-84.13572;-69.89501;;136.9
257.0;211.9;;;;;;;;;;;;;;-1.1454207;-0.40040284;-0.2097232;;;;;136.9
257.0;211.9;;;;;;;;;;;;;;;;;-121.85659;-124.988556;-123.27189;;136.9
257.0;211.9;;;;;;;;;;;;;;-1.1321757;-0.43372905;-0.20374157;;;;;136.9
322.0;212.7;;;;;;;;;;;;;;;;;-50.1648;-124.702446;-115.3943;;146.6
322.0;212.7;;;;;;;;;;;;;;-1.1001313;-0.41950744;-0.19434187;;;;;146.6
322.0;212.7;;;;;;;;;;;;;;;;;35.412914;-123.874626;-117.34367;;146.6
322.0;212.7;;;;;;;;;;;;;;-1.1001923;-0.44062623;-0.1975158;;;;;146.6
322.0;212.7;;;;;;;;;;;;;;;;;49.22254;-91.40293;-121.845146;;156.2
322.0;212.7;;;;;;;;;;;;;;-1.1305887;-0.44288462;-0.19031343;;;;;156.2
322.0;212.7;;;;;;;;;;;;;;;;;57.142094;0.6027406;-114.249855;;156.2
