patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
269.0;214.2;;;;;;;;;;;;;;;;;;;;17;0.1
269.0;214.2;;;;;;;;;;;;;;;;;13.81344;1.3275552;1.247444;;127.6
269.0;214.2;;;;;;;;;;;;;;0.86355174;0.13324381;-0.342967;;;;;127.6
269.0;214.2;;;;;;;;;;;;;;;;;-6.2944427;-18.108921;-8.472701;;127.6
269.0;214.2;;;;;;;;;;;;;;0.8989532;0.13715018;-0.3541368;;;;;127.6
269.0;214.2;;;;;;;;;;;;;;;;;-65.454575;-84.95972;-62.40272;;137.2
269.0;214.2;;;;;;;;;;;;;;0.8999298;0.13702811;-0.35291603;;;;;137.2
269.0;214.2;;;;;;;;;;;;;;;;;-122.49367;-124.988556;-120.475624;;137.2
269.0;214.2;;;;;;;;;;;;;;0.9021882;0.13611256;-0.35444197;;;;;137.2
329.0;215.0;;;;;;;;;;;;;;;;;-59.31654;-124.74441;-77.55517;;146.9
329.0;215.0;;;;;;;;;;;;;;0.9021882;0.1358684;-0.35163426;;;;;146.9
329.0;215.0;;;;;;;;;;;;;;;;;6.004517;-124.95804;-30.266731;;146.9
329.0;215.0;;;;;;;;;;;;;;0.9007233;0.13556322;-0.3516953;;;;;146.9
329.0;215.0;;;;;;;;;;;;;;;;;1.6060365;-97.84235;-22.52266;;156.5
329.0;215.0;;;;;;;;;;;;;;0.90163887;0.13464767;-0.34931487;;;;;156.5
329.0;215.0;;;;;;;;;;;;;;;;;-5.706961;-9.678183;1.9150364;;156.5
329.0;215.0;;;;;;;;;;;;;;0.89919734;0.1350139;-0.34882656;;;;;156.5
329.0;215.0;;;;;;;;;;;;;;;;;-6.4394054;-2.2698143;3.807184;;166.2
329.0;215.0;;;;;;;;;;;;;;0.89767146;0.13379315;-0.34778893;;;;;166.2
