patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
305.0;217.2;;;;;;;;;;;;;;;;;;;;17;0.1
305.0;217.2;;;;;;;;;;;;;;;;;13.325145;0.43488875;-0.25940734;;127.6
305.0;217.2;;;;;;;;;;;;;;-1.3360393;0.29670095;-0.5906552;;;;;127.6
305.0;217.2;;;;;;;;;;;;;;;;;-4.402295;-18.09366;-10.998108;;127.6
305.0;217.2;;;;;;;;;;;;;;-1.4225287;0.342967;-0.6194647;;;;;127.6
305.0;217.2;;;;;;;;;;;;;;;;;-65.10743;-84.18531;-69.07483;;137.1
305.0;217.2;;;;;;;;;;;;;;-1.4025086;0.35041353;-0.58937347;;;;;137.1
305.0;217.2;;;;;;;;;;;;;;;;;-122.417366;-124.988556;-123.06589;;137.1
305.0;217.2;;;;;;;;;;;;;;-1.352031;0.32074952;-0.48530534;;;;;137.1
429.0;218.0;;;;;;;;;;;;;;;;;-67.25135;-124.76348;-114.31852;;146.8
429.0;218.0;;;;;;;;;;;;;;-1.3022858;0.28125858;-0.38172552;;;;;146.8
429.0;218.0;;;;;;;;;;;;;;;;;-19.287699;-124.832146;-115.97797;;146.8
429.0;218.0;;;;;;;;;;;;;;-1.2907498;0.23303933;-0.31916258;;;;;146.8
429.0;218.0;;;;;;;;;;;;;;;;;-40.326393;-96.84668;-122.12744;;156.5
429.0;218.0;;;;;;;;;;;;;;-1.3111973;0.15808588;-0.30890834;;;;;156.5
429.0;218.0;;;;;;;;;;;;;;;;;-58.85876;-5.760369;-117.61834;;156.5
429.0;218.0;;;;;;;;;;;;;;-1.328959;0.06280709;-0.3302713;;;;;156.5
429.0;218.0;;;;;;;;;;;;;;;;;-60.46098;2.948851;-118.44615;;166.1
429.0;218.0;;;;;;;;;;;;;;-1.3391522;-0.04791406;-0.3441267;;;;;166.1
429.0;218.0;;;;;;;;;;;;;;;;;-57.64565;3.276925;-119.93392;;166.1
429.0;218.0;;;;;;;;;;;;;;-1.327189;-0.1396527;-0.36365855;;;;;166.1
429.0;278.0;;;;;;;;;;;;;;;;;-53.51802;5.874813;-121.70782;;175.7
429.0;278.0;;;;;;;;;;;;;;-1.3102206;-0.20764793;-0.38099307;;;;;175.7
429.0;278.0;;;;;;;;;;;;;;;;;-47.799618;8.9991455;-123.180336;;175.7
429.0;278.0;;;;;;;;;;;;;;-1.294412;-0.25220495;-0.3998535;;;;;175.7
429.0;278.0;;;;;;;;;;;;;;;;;-43.191322;13.096255;-123.96619;;185.2
429.0;278.0;;;;;;;;;;;;;;-1.269509;-0.26984465;-0.39808345;;;;;185.2
429.0;278.0;;;;;;;;;;;;;;;;;-39.834282;17.139957;-124.31333;;185.2
429.0;278.0;;;;;;;;;;;;;;-1.2444838;-0.27790156;-0.38288522;;;;;185.2
429.0;278.0;;;;;;;;;;;;;;;;;-37.37373;18.913847;-124.27137;;194.9
429.0;278.0;;;;;;;;;;;;;;-1.2200079;-0.2590411;-0.3483993;;;;;194.9
429.0;278.0;;;;;;;;;;;;;;;;;-35.763878;18.22718;-124.02341;;194.9
429.0;278.0;;;;;;;;;;;;;;-1.21189;-0.21283609;-0.2981048;;;;;194.9
432.0;278.8;;;;;;;;;;;;;;;;;-34.0701;14.301737;-122.98578;;204.5
432.0;278.8;;;;;;;;;;;;;;-1.2153691;-0.16473891;-0.2491531;;;;;204.5
432.0;278.8;;;;;;;;;;;;;;;;;-31.437881;7.019257;-121.345406;;204.5
432.0;278.8;;;;;;;;;;;;;;-1.213355;-0.10882901;-0.20422986;;;;;204.5
432.0;278.8;;;;;;;;;;;;;;;;;-29.198584;-1.0109257;-118.28593;;214.1
432.0;278.8;;;;;;;;;;;;;;-1.2193975;-0.055848874;-0.16663106;;;;;214.1
432.0;278.8;;;;;;;;;;;;;;;;;-26.024658;-8.056887;-113.88363;;214.1
432.0;278.8;;;;;;;;;;;;;;-1.2312998;-0.02087466;-0.13812678;;;;;214.1
432.0;278.8;;;;;;;;;;;;;;;;;-21.134068;-13.721885;-108.55816;;223.7
432.0;278.8;;;;;;;;;;;;;;-1.2407606;0.01782281;-0.12604144;;;;;223.7
432.0;278.8;;;;;;;;;;;;;;;;;-14.984588;-14.198736;-101.99286;;223.7
432.0;278.8;;;;;;;;;;;;;;-1.2348399;0.040101323;-0.12793359;;;;;223.7
432.0;338.1;;;;;;;;;;;;;;;;;-8.58333;-10.002441;-95.58398;;233.3
432.0;338.1;;;;;;;;;;;;;;-1.1882687;0.061098058;-0.11505478;;;;;233.3
432.0;338.1;;;;;;;;;;;;;;;;;-7.0688496;-4.299295;-91.42582;;233.3
432.0;338.1;;;;;;;;;;;;;;-1.1205786;0.09234901;-0.11890011;;;;;233.3
432.0;338.1;;;;;;;;;;;;;;;;;-8.20185;1.1368145;-88.045906;;242.9
432.0;338.1;;;;;;;;;;;;;;-1.0495316;0.11963256;-0.140141;;;;;242.9
432.0;338.1;;;;;;;;;;;;;;;;;-11.326181;4.3488874;-83.27738;;242.9
432.0;338.1;;;;;;;;;;;;;;-0.9722587;0.14203314;-0.16724144;;;;;242.9
432.0;338.1;;;;;;;;;;;;;;;;;-19.062624;5.7489243;-77.6925;;252.3
432.0;338.1;;;;;;;;;;;;;;-0.906888;0.1605884;-0.2026429;;;;;252.3
432.0;338.1;;;;;;;;;;;;;;;;;-28.180029;7.5037384;-72.271645;;252.3
432.0;338.1;;;;;;;;;;;;;;-0.85964537;0.15179907;-0.22376171;;;;;252.3
487.0;338.9;;;;;;;;;;;;;;;;;-31.456955;7.6181827;-66.82028;;262.0
487.0;338.9;;;;;;;;;;;;;;-0.8082522;0.14185004;-0.22461623;;;;;262.0
487.0;338.9;;;;;;;;;;;;;;;;;-28.157139;4.7074804;-60.228275;;262.0
487.0;338.9;;;;;;;;;;;;;;-0.7509995;0.14276558;-0.19116795;;;;;262.0
487.0;338.9;;;;;;;;;;;;;;;;;-22.93466;2.25074;-52.762688;;271.6
487.0;338.9;;;;;;;;;;;;;;-0.695822;0.1518601;-0.16199225;;;;;271.6
487.0;338.9;;;;;;;;;;;;;;;;;-15.449995;5.7985168;-45.827354;;271.6
487.0;338.9;;;;;;;;;;;;;;-0.6518754;0.15295877;-0.14123966;;;;;271.6
487.0;338.9;;;;;;;;;;;;;;;;;-5.954924;13.248848;-40.261543;;281.2
487.0;338.9;;;;;;;;;;;;;;-0.62605673;0.14368114;-0.12042604;;;;;281.2
487.0;338.9;;;;;;;;;;;;;;;;;6.2257757;18.910032;-34.588913;;281.2
487.0;338.9;;;;;;;;;;;;;;-0.61922055;0.115848266;-0.09656057;;;;;281.2
487.0;398.4;;;;;;;;;;;;;;;;;18.55144;20.798365;-28.080843;;290.8
487.0;398.4;;;;;;;;;;;;;;-0.62215036;0.0806299;-0.05261391;;;;;290.8
487.0;398.4;;;;;;;;;;;;;;;;;28.218176;20.100252;-21.748253;;290.8
487.0;398.4;;;;;;;;;;;;;;-0.6280099;0.033692434;-0.006836146;;;;;290.8
487.0;398.4;;;;;;;;;;;;;;;;;34.34858;19.54329;-16.178625;;300.3
487.0;398.4;;;;;;;;;;;;;;-0.63435775;-0.018555254;0.029358806;;;;;300.3
487.0;398.4;;;;;;;;;;;;;;;;;36.893063;18.803217;-11.379589;;300.3
487.0;398.4;;;;;;;;;;;;;;-0.6393017;-0.0634785;0.04992828;;;;;300.3
487.0;398.4;;;;;;;;;;;;;;;;;36.172062;16.537218;-6.828517;;310.1
487.0;398.4;;;;;;;;;;;;;;-0.6327708;-0.08844264;0.047853023;;;;;310.1
487.0;398.4;;;;;;;;;;;;;;;;;32.96762;12.691885;-2.5025177;;310.1
487.0;398.4;;;;;;;;;;;;;;-0.6112247;-0.09149449;0.019287698;;;;;310.1
557.0;405.8;;;;;;;;;;;;;;;;;26.982178;8.552812;1.8539995;;319.6
557.0;405.8;;;;;;;;;;;;;;-0.59450054;-0.08331553;-0.019714957;;;;;319.6
557.0;405.8;;;;;;;;;;;;;;;;;18.581957;5.348369;6.550035;;319.6
557.0;405.8;;;;;;;;;;;;;;-0.577105;-0.06408887;-0.071535386;;;;;319.6
557.0;405.8;;;;;;;;;;;;;;;;;10.059664;2.8077028;11.585589;;329.3
557.0;405.8;;;;;;;;;;;;;;-0.56001467;-0.032898955;-0.106631674;;;;;329.3
557.0;405.8;;;;;;;;;;;;;;;;;3.0709252;-0.12970367;16.91107;;329.3
557.0;405.8;;;;;;;;;;;;;;-0.54554886;0.005798517;-0.1225013;;;;;329.3
557.0;405.8;;;;;;;;;;;;;;;;;-0.6599628;-3.688925;22.583696;;339.0
557.0;405.8;;;;;;;;;;;;;;-0.5315714;0.045167394;-0.11627552;;;;;339.0
557.0;405.8;;;;;;;;;;;;;;;;;-1.495407;-7.6868496;28.05414;;339.0
557.0;405.8;;;;;;;;;;;;;;-0.5147252;0.08667257;-0.09955138;;;;;339.0
557.0;458.7;;;;;;;;;;;;;;;;;-1.1520737;-11.280404;33.29951;;348.7
557.0;458.7;;;;;;;;;;;;;;-0.4941557;0.124881744;-0.08429212;;;;;348.7
557.0;458.7;;;;;;;;;;;;;;;;;-0.099185154;-14.034699;38.41136;;348.7
557.0;458.7;;;;;;;;;;;;;;-0.48176518;0.15918455;-0.069765314;;;;;348.7
557.0;458.7;;;;;;;;;;;;;;;;;0.4196295;-15.964996;43.149357;;358.3
557.0;458.7;;;;;;;;;;;;;;-0.4760277;0.19428083;-0.05285806;;;;;358.3
557.0;458.7;;;;;;;;;;;;;;;;;0.5417035;-18.009735;48.005615;;358.3
557.0;458.7;;;;;;;;;;;;;;-0.47645497;0.2186346;-0.044740137;;;;;358.3
